iso_o,TIME_PERIOD,schooling
LAO,2016,11.09759998
LAO,2017,10.95283031
LAO,2018,10.63360023
LAO,2019,10.50666046
LAO,2020,10.18749046
LTU,2000,14.49923992
LTU,2001,15.09012985
LTU,2002,15.63140965
LTU,2003,16.21151924
LTU,2004,16.39171028
LTU,2005,16.7774601
LTU,2006,17.09894943
LTU,2007,17.08245087
LTU,2008,17.09845924
LTU,2009,17.18757057
LTU,2010,17.12297058
LTU,2011,17.16068077
LTU,2012,16.95055962
LTU,2013,16.85629082
LTU,2014,16.13591003
LTU,2015,16.15266037
LTU,2016,16.22341919
LTU,2017,16.40295029
LTU,2018,16.32348061
LTU,2019,16.15449905
LTU,2020,16.14806938
LUX,2000,13.41460991
LUX,2001,13.30146027
LUX,2002,13.43264008
LUX,2003,13.41771984
LUX,2004,13.35352993
LUX,2005,13.28934002
LUX,2006,13.22515011
LUX,2007,13.28186989
LUX,2008,13.33858967
LUX,2009,13.60389471
LUX,2010,13.86919975
LUX,2011,13.92474508
LUX,2012,13.98029041
LUX,2013,14.02516365
LUX,2014,14.07003689
LUX,2015,14.11491013
LUX,2016,14.16722965
LUX,2017,14.10188961
LUX,2018,14.14490032
LUX,2019,14.18776035
LUX,2020,14.19386959
LVA,2000,14.19244003
LVA,2001,14.88010025
LVA,2002,15.35857964
LVA,2003,15.72097015
LVA,2004,16.10833931
LVA,2005,16.40514946
LVA,2006,16.4289608
LVA,2007,16.32666016
LVA,2008,16.32238007
LVA,2009,15.93803978
LVA,2010,15.81033039
LVA,2011,15.79568958
LVA,2012,15.62761974
LVA,2013,16.07962036
LVA,2014,16.07192993
LVA,2015,16.09433937
LVA,2016,16.26151085
LVA,2017,16.47373009
LVA,2018,16.56105042
LVA,2019,16.54171944
LVA,2020,16.49007988
MAR,2000,8.56276989
MAR,2001,8.933050156
MAR,2002,9.365309715
MAR,2003,9.695070267
MAR,2004,9.891050339
MAR,2005,10.01336002
MAR,2006,10.01791
MAR,2007,10.22760963
MAR,2008,10.36264038
MAR,2009,10.53151989
MAR,2010,10.91386032
MAR,2011,11.28670979
MAR,2012,11.62874985
MAR,2013,11.9529438
MAR,2014,12.27713776
MAR,2015,12.60133171
MAR,2016,12.92552567
MAR,2017,13.24971962
MAR,2018,13.44997978
MAR,2019,13.70191002
MAR,2020,13.92945957
MEX,2000,11.96185017
MEX,2001,11.99468994
MEX,2002,12.33232975
MEX,2003,12.58868027
MEX,2004,12.6633997
MEX,2005,12.71755981
MEX,2006,12.84585953
MEX,2007,12.99110985
MEX,2008,13.19239044
MEX,2009,13.27560043
MEX,2010,13.42037964
MEX,2011,13.46401978
MEX,2012,13.73157978
MEX,2013,13.91250992
MEX,2014,14.08321953
MEX,2015,14.23423958
MEX,2016,14.6759901
MEX,2017,14.85268021
MEX,2018,14.92304993
MEX,2019,14.9456501
MEX,2020,14.82310009
MLT,2000,14.05391026
MLT,2001,14.05865002
MLT,2002,14.01716042
MLT,2003,14.37259007
MLT,2004,14.93609047
MLT,2005,14.93362999
MLT,2006,14.63082981
MLT,2007,14.99221039
MLT,2008,14.89570999
MLT,2009,15.22702503
MLT,2010,15.55834007
MLT,2011,15.05198956
MLT,2012,15.26603985
MLT,2013,15.39560032
MLT,2014,15.41493988
MLT,2015,15.49055958
MLT,2016,15.45613003
MLT,2017,15.51881981
MLT,2018,15.75314045
MLT,2019,15.62699032
MLT,2020,15.55049038
MMR,2000,7.909849803
MMR,2001,7.938059807
MMR,2002,8.062719822
MMR,2003,8.187379837
MMR,2004,8.312039852
MMR,2005,8.436699867
MMR,2006,8.561359882
MMR,2007,8.686019897
MMR,2008,8.942250859
MMR,2009,9.19848182
MMR,2010,9.454712781
MMR,2011,9.710943742
MMR,2012,9.967174703
MMR,2013,10.22340566
MMR,2014,10.47963663
MMR,2015,10.73586759
MMR,2016,10.99209855
MMR,2017,11.24832951
MMR,2018,11.50456047
MMR,2019,11.50456047
MMR,2020,11.50456047
MYS,2000,12.39342976
MYS,2001,12.32275009
MYS,2002,12.24785995
MYS,2003,12.62555027
MYS,2004,12.70936012
MYS,2005,12.34197998
MYS,2006,11.94384003
MYS,2007,12.17440033
MYS,2008,12.36715031
MYS,2009,12.55362034
MYS,2010,12.78493023
MYS,2011,12.64017963
MYS,2012,12.86585999
MYS,2013,13.00280952
MYS,2014,13.12631989
